pid,school_name,subject_field,degree,deg_duration
121,California State University-Sacramento,MBA,Business,2007 – 2008
121,Mills College,BA,Computer Science,1978 – 1982
122,Mills College,MA,Interdisciplinary Computer Science,2000 – 2002
122,Reed College,BA,Political Science,1986 – 1990
122,NMH,,,1985 – 1986
122,Northfield Mount Hermon,,,1985 – 1986
123,Mills College,BA,Liberal Studies/Computer Science,
123,Mills College,,Interdisciplinary Computer Science (Master's Program),
125,Mills College,,,
125,UC Davis,,,
125,"Informal Apprenticeship - SF, CA",,,
125,"Women's Studio Workshop - Rosendale, NY",,,
131,Mills College,Bachelors,Computer Science,1994 – 2000
131,Yonsei University,Korean Language Program,Korean Language and Literature,2000 – 2000
134,University of Warwick - Warwick Business School,Doctor of Philosophy (Ph.D.),,2011 – 2015
134,Mills College,MA,Interdisciplinary Computer Science,2003 – 2006
134,Stanford University,,Computer Science,2001 – 2002
134,Boston University,BS,Business Adminstration,1981 – 1985
135,Mills College,MA,Interdisciplinary Computer Science,
135,Fashion Institute of Technology,Bachelor of Fine Arts - BFA,Fine and Studio Arts,
135,Haverford College,BA,Mathematics,
136,Mills College,Bachelor of Arts (BA),Mathematics and Computer Science,2010 – 2013
136,Hawaii Community College,Associate of Arts (AA),Liberal Arts and Sciences/Liberal Studies,2006 – 2009
140,Saint Mary's College of California,Master of Business Administration - MBA,Sports Management,
140,Mills College,Bachelor of Arts,Computer Science,
149,Santa Clara University School of Law,J.D.,Intellectual Property,2010 – 2013
149,San Jose State University,Teaching Credential,Single Subject (Social Studies),2003 – 2004
149,Mills College,Masters,Computer Science,1987 – 1988
149,"University of California, Davis",B.A.,History,1979 – 1983
152,Mills College,Bachelor of Arts (BA),Computer Science,2009 – 2013
152,Université Joseph Fourier (Grenoble I),,Engineering,
155,Smith College,A.B.,Government,1974 – 1978
155,"University of California, Berkeley",,Art Practice,
155,Mills College,,Interdisciplinary Computer Science,
160,University of Pennsylvania,M.S. Engineering,Computer Science,
160,Temple University,Ph.D.,Math & Science Education,
160,Mills College,B.A.,Computer Science,
161,Bellevue College,Associate’s Degree,Digital Media Arts - Please note this degree is IN PROGRESS,2016 – 2018
161,Mills College,Bachelor of Arts,"Major in Music Composition, Minor in Computer Science",
162,Mills College,B.A.,Computer Science,1994 – 1998
162,Occidental College,,Physics,1988 – 1992
162,Alhambra High,,,1984 – 1988
163,San Jose State University,MA,Instructional Technology (Media Design and Development),2003 – 2005
163,Mills College,BA,Computer Science,1998 – 2002
165,Mills College,Masters of Arts,Computer Science,2000 – 2002
165,"Lady Sri Ram College, Delhi University",Bachelors of Arts,English Honors,1995 – 1998
166,Mills College,BA,Computer Science and Theatre,1993 – 1996
166,Pacific Conservatory of the Performing Arts,,Costumes/Theatre,1979 – 1988
167,Mills College,M.A.,Interdisciplinary Computer Science,1994 – 1999
167,UC Irvine,B.A.,"Economics, Film Studies",1983 – 1988
170,University of California San Diego,"PhD, MS",Cognitive Science,1990 – 1995
170,Mills College,BA & MA,Philosophy & computer science,1986 – 1989
170,Reed College,,,1975 – 1978
171,"University of California, Davis",MBA,"Business - Marketing, Finance, Management",2005 – 2008
171,"Natural Gourmet Institute, New York, NY",,Graduate - Chef Training Program,2005 – 2005
171,Mills College,BA,Computer Science,1984 – 1988
174,"University of California, Berkeley",Doctor of Philosophy (Ph.D.),Chemistry,2008 – 2014
174,"University of California, Berkeley",Master's degree,Chemistry,2005 – 2007
174,Mills College,Bachelor of Arts (B.A.),Chemistry,2001 – 2005
174,Monterey Institute of International Studies,,,
177,Mills College,CS/Phil.,General Computer Science and Philosophy of Language,2004 – 2007
177,Diablo Valley College,N/A,Transfer,2001 – 2004
178,Mills College,Graduate Studies,"Marketing, Business, and Technology",2014 – 2014
178,Denison University,Bachelor of Arts (BA),"Art History, Studio Art",2008 – 2012
178,Gerrit Rietveld Academie Amsterdam,,Dutch Contemporary Art Trends,2011 – 2011
178,Universiteit van Amsterdam,,Counter Culture and Modern Art Movements,2011 – 2011
178,Atelier Marchutz Aix-en-Provence,,The French Impressionists,2010 – 2010
179,Mills College,,Interdisciplinary Computer Science Coursework,2003 – 2003
179,Maharishi University of Management,MA,Digital Media,2000 – 2002
179,University of Pittsburgh,Certificate,"Search Engine Optimization, ASP, XML",2001 – 2002
179,Lewis and Clark College,BA,"Fine Art, Religious Studies",1990 – 1994
179,Montezuma Cortez High School,,,1986 – 1990
179,Human Factors International,Certificate,Software Ergonomics/Usability,2000
182,Mills College,Master of Science (M.S.),Computer Science,2009 – 2010
182,Mills College,Bachelor of Arts (B.A.),Philosophy,2005 – 2009
186,Santa Clara University,CLAD Teaching Credential,Education,1996 – 2000
186,Mills College,Bachelor of Arts (BA),Computer Science,1977 – 1981
186,Tessinskolan,,Social Studies,1976 – 1977
186,Stanford Continuing Studies,,,
187,San Francisco State University,MA Education with a concentration in Instructional Technologies,Educational/Instructional Technology,2016 – 2018
187,Mills College,MS,Interdisciplinary Computer Science,
187,New York University,MA,Philosophy,
187,University of Buenos Aires,BA,Philosophy and Education,
189,Mills College,BA Studio art,Minor Computer Science,2001 – 2004
189,"Rutgers, The State University of New Jersey-New Brunswick",,,
191,University of Oklahoma,Doctor of Philosophy (Ph.D.),Mathematics,2006 – 2015
191,Mills College,BA,Mathematics,2002 – 2006
192,"University of California, Berkeley",Bachelor of Science - BS,Psychology,2007 – 2010
192,Johns Hopkins Whiting School of Engineering,Master of Science (M.S.),Computer Science,2017 – 2019
196,Mills College,Master's in Interdisciplinary Computer Science,Computer Science,2012 – 2014
196,The University of Manchester,,,
196,"University of California, Los Angeles",B.A,"Economics and History - Double Major, Cum Laude",
196,West Island School,British-system Secondary School A-Level Certification,"Mathematics, Biology, History, English Literature",
197,Academy of Chinese Culture and Health Sciences,Master of Science (MS),Traditional Chinese Medicine and Chinese Herbology,2013 – 2016
197,American Board of Oriental Reproductive Medicine,Fellow,Oriental Reproductive Medicine,2018 – 2019
197,American College of Traditional Chinese Medicine,,Medical Qigong Teacher Training Certificate,2010 – 2012
197,Universal Healing Tao,Chi Nei Tsang Massage Training,,2008 – 2009
197,Mills College,Master of Arts (MA),Computer Science,2000 – 2002
197,San Francisco State University,Bachelor's degree,Classics & Women's Studies,1989 – 1993
199,Ontario Institute for Studies in Education of the University of Toronto,B.Ed,Junior/Intermediate Science,2007 – 2008
199,Mills College,MA,Interdisciplinary Computer Science,1998 – 2001
199,"University of California, Berkeley",BS,Chemistry,1990 – 1994
202,"University of California, Berkeley",BA summa cum laude,English,1989 – 1993
202,University of Oxford,,,1991 – 1992
202,Mills College,Master of Arts - MA,Computer Science,
204,The University of Birmingham,PhD,Music,2007 – 2012
204,Koninklijk Conservatorium,,Sonology,2006 – 2007
204,Centre de Création Musical Iannis Xenakis,,Music,2005 – 2006
204,Wesleyan University,MA,Music Composition,2003 – 2005
204,Mills College,BA,"Music, Computer Science",1994 – 1998
207,UC Davis,Doctor of Philosophy (Ph.D.),Geography,2014 – 2020
207,Mills College,,Computer Science,2012 – 2012
207,University of Chicago,Bachelors,Near Eastern Languages and Civilizations and Geography Majors,2005 – 2009
207,Indiana University Bloomington,,,2008 – 2008
207,"University of California, Berkeley",,,2006 – 2006
207,The Putney School,High School Diploma,,2001 – 2005
207,Walden School,,,1999 – 2001
207,Head-Royce,,,1996 – 2001
215,Mills College,Masters,Interdisciplinary Computer Science,2010
215,University of Virginia,MA,Sociology,1990 – 1992
215,University of Virginia,BA,"Anthropology, Studio Art",1986 – 1990
215,City College of San Francisco,,,
221,Douglas High School,,,
221,Mills College,Master's Degree,Interdisciplinary Computer Science,
221,Pomona College,Bachelor of Arts,"Mathematics, Minor in English",
222,Mills College,Post-baccalaureate degree,Computer Science,2014 – 2017
222,Harvard University,Doctor of Philosophy (Ph.D.),German Intellectual History,2004 – 2013
222,Stanford University,Co-Terminal Master's (B.A./M.A.),German Studies,1998 – 2003
222,The Branson School,High school diploma,,
223,Carnegie Mellon University,Doctor of Philosophy (Ph.D.),"Computation, Organizations & Society",2019
223,Carnegie Mellon University,MS,"Computation, Organizations & Society",
223,"University of California, Berkeley",BA,Sociology,
229,City University of Seattle,Master of Business Administration (MBA),Practicum in Marketing,2012 – 2014
229,Columbia University - Columbia Business School,ExecEd,Strategic marketing,
229,Mills College,Interdisciplinary CS coursework,Computer Science,
229,San Jose State University,BA,Behavioral Science,
231,Mills College,Bachelor of Arts (BA),Economics,2010 – 2014
231,Diablo Valley College,,,2012 – 2013
233,University of Hawaii at Manoa,"B.S., B.A","Agriculture, Anthropology",
233,Mills College New Horizons,,Computer Science,
233,Vista Community College,Certificate,Biotechnology,
237,Mills College,MA,Interdisciplinary Computer Science,2010 – 2012
237,University of Nebraska at Omaha,,Computer Science and Engineering,2007 – 2010
237,"University of California, Santa Cruz",BA,Film and Digital Media,2001 – 2005
242,Stanford University,Ph.D. Research,Geomathematics,1994 – 1998
242,Mills College,Masters,Computer Science,1991 – 1994
250,Naval Postgraduate School,MS,Computer Science,2006 – 2008
250,Naval Postgraduate School (NPS),MS,Computer Science,2006 – 2008
250,Mills College,MA,Interdisciplinary Computer Science,2002 – 2006
250,The University of New Mexico,BA,French/English,2000 – 2002
254,California College of the Arts,MFA,Creative Writing,2009 – 2011
254,Mills College,BA,"Computer science, fine arts",1988 – 1992
261,"University of California, Berkeley",BS,Industrial Engineering & Operations Research,
261,Mills College,BA,Computer Science,
261,"University of California, Berkeley",MS,Operations Research,
263,University of Southern California,Master's degree,Computer Science,
263,Mills College,Bachelor of Arts (B.A.),Computer Science,
267,Mills College,Master's degree,Multi/Interdisciplinary Studies Computer Science,2016 – 2019
267,Mills College,Bachelor of Arts - BA,Creative Writing,2012 – 2016
267,Wallis Annenberg High School,High School,,2008 – 2012
270,Webucator,,Web Applications Developer Certificate,2014 – 2015
270,Mills College,,Mathematics and Computer Science,
270,Dalian Maritime University,Bachelor's Degree,Mathematics and Computer Science,
271,Mills College,M.A.,Interdisciplinary Computer Science,2004 – 2007
271,University of Illinois at Urbana-Champaign,BS,Psychology - Human Factors,1994 – 1999
272,A Body of Work,ITT Comprehensive Pilates Certification,Pilates - Mat and Apparatus,2010 – 2011
272,Institute of Conscious Bodywork,CBW,Conscious BodyWorker,2008 – 2009
272,Upledger Institute,,CranioSacral Therapy I,2008 – 2008
272,Institute of Conscious Bodywork,ABW,Advanced BodyWorker,2007 – 2008
272,Advanced-Training.com,Certificate,"Advanced Myofascial Techniques: Pelvis, Hip, Sacrum",2007 – 2007
272,Advanced-Training.com,Certificate,Advanced Myofascial Techniques: Shoulder Girdle & Arms,2007 – 2007
272,Institute of Conscious Bodywork,CMT,Certified Massage Therapist,2006 – 2006
272,Mills College,B.A.,"Computer Science, Economics",1997 – 1999
272,Uni Heidelberg - Inst. fuer Uebersetzen und Dolmetschen,Vordiplom,"English, French",1986 – 1988
279,Mills College,M.A.,Interdisciplinary Computer Science,2015
279,Harvard University,B.A.,English and American Literature and Language,2001 – 2005
280,Mills College,BA,Computer Science,
280,Stanford University,MS,Operations Research,
280,"University of California, Davis",Certification Program in Project Management,,
284,Mills College,Master's degree,Computer Science,2010 – 2013
284,Claremont McKenna College,Bachelor's degree,Economics and Psychology,2003 – 2007
290,Mills College,,Interdisciplinary Computer Science,2001 – 2006
290,"University of California, Santa Cruz",BA,Mathematics,1980 – 1984
292,Mills College,Masters,Computer Science,1997 – 1999
292,Stella Maris College,Bachelor's degree,Business/Managerial Economics,
295,Mills College,MA,Interdisciplinary Computer Science,1988 – 1990
295,Smith College,BA,English Literature,1979 – 1983
297,"University of California, Berkeley",Ph. D.,Science/Mathematics Education (SESAME),1984 – 1991
297,Mills College,B. A.,Computer Science,1979 – 1983
305,"University of California, Berkeley",BA,Computer Science,1983 – 1987
305,Mills College,MA,"Computer Science, Music",1991 – 1993
306,University of California San Diego,Doctor of Philosophy - PhD,Public Health (Health Behavior),2018 – 2021
306,"Yoga Yoga, Austin, TX",Certified Yoga Therapist,Yoga Therapy,2016 – 2018
306,Zen Yoga,Zen Yoga Teacher Certification,Zen Yoga Teacher Training,2012 – 2013
306,University of Nebraska School of Medicine,MS,Physician Assistant Studies,2009 – 2011
306,Kripalu School of Yoga,200 hour Certification,200 Hr Yoga Teacher Training,2009 – 2009
306,Mills College,BA,"American Studies, Computer Science",1996 – 2001
309,Mills College,Master of Arts (MA),Computer Science,2011 – 2013
309,Tulane University,,"B.S Mathematical Economics, B.A Music Theory",2007 – 2011
312,Mills College,Master of Arts (MA),Interdisciplinary Computer Science,2012 – 2014
312,Mills College,Bachelor of Arts (BA),Mathematics,2008 – 2012
314,Brown University,Master of Science (MS),Computer Science,2012 – 2014
314,Mills College,B.A.,"Mathematics, Computer Science",2007 – 2011
315,Mills College,Bachelor of Arts (B.A.),Computer Science,1980 – 1984
315,"University of California, Berkeley",,,
318,"University of California, Riverside",PhD,Economics,1980 – 1988
318,Mills College,MA,Interdisciplinary Computer Science,1988 – 1989
318,"University of California, Berkeley",BA,Economics,
319,Mills College,Bachelor of Arts (B.A.),Computer Science,2001 – 2005
319,Ohio University,Master of Science (M.S.),Coaching Education,2011 – 2013
321,Contra Costa College,AA,Liberal Studies,2004 – 2006
321,San Francisco State University,,Liberal Studies,1975 – 1978
321,Mills College,,Computer and Information Sciences and Support Services,2013
322,Rensselaer Polytechnic Institute,BS,Game and Simulation Arts & Sciences,2005 – 2009
322,Sonoma Valley High School,,,2003 – 2005
323,"University of California, Davis",PhD,Population Biology,2005 – 2011
323,Dartmouth College,A.B.,Biology,1997 – 2002
323,Mills College,,Graduate Study in Computer Science,2012 – 2013
323,"University of California, Davis",Doctor of Philosophy - PhD,Population Biology,2005 – 2011
328,Mills College,BA,Computer Science,2008 – 2012
328,University of Westminster,,Computer Science and Software Engineering,2011 – 2011
329,Hakomi Institute of California,Certificate of Completion,RCS/Re-Creation of Self,2018 – 2018
329,John F. Kennedy University,Certificate,Clinical Psychology,2015 – 2016
329,West Valley College,Certificate,Clinical Psychology,2015 – 2016
329,Hakomi Institute of California,Certificate of Completion/Comprehensive and Trauma Focused Hakomi Method,Comprehensive Training of the Hakomi Method,2012 – 2014
329,"ITP, Institute of Transpersonal Psychology",Master's degree,Clinical Psychology,2007 – 2010
329,Mills College,,Interdisciplinary Computer Science,2001 – 2003
329,UCSC,Bachelor's degree,"Fine/Studio Arts, General",1999 – 2001
330,San Francisco State University,Master of Arts (M.A.),Special Education and Teaching,2014 – 2017
330,Mills College,Bachelor of Arts,English & Creative Writing,2006 – 2009
331,San Jose State University,MLIS,Library and Information Science,2008 – 2011
331,Mills College,B.A.,Computer Science,
332,Mills College,Master of Fine Arts,Electronic Music and Recording Media,2004 – 2008
332,Mills College,Master of Arts,Interdisciplinary Computer Science,2004 – 2008
332,Bard College,Bachelor of Arts,Electronic Music and Economics,1997 – 2001
334,Mills College,EDD,Educational Leadership,2010 – 2016
334,Mills College,MA,Educational Leadership,2005 – 2010
334,Mills College,BA,Sociology,1998 – 2002
349,Mills College,Master’s Degree,Computer Science,2015 – 2016
349,Mills College,Bachelor’s Degree,English Language and Literature/Letters,2011 – 2015
350,Mills College,BA: Media Studies,Minor: Computer Science,1999 – 2003
350,Coach U,Life Coaching Certificate,,2014 – 2015
350,"University of California, Los Angeles",,,2004 – 2004
352,La Jolla Country Day,,,
352,Mills College,BS,Computer Science,
352,Dartmouth College - The Tuck School of Business at Dartmouth,Finance Training for Executives,,
354,Mills College,Master's degree (thesis in progress),Interdisciplinary Computer Science,2006 – 2016
354,UCSD,Bachelor of Arts (B.A.),Ethnic Studies,1998 – 2003
355,UC Santa Cruz,BA,Women's Studies,1988 – 1992
355,Mills College,MA,Interdisciplinary Computer Science,2002 – 2004
356,Mills College,"BA, Computer Science",,2004 – 2007
356,De Anza College,AA,Graphic Design/Fine Art,1995 – 1998
356,UCSC Extension,,,
360,Stanford University,MS,Computer Science,1984 – 1986
360,Mills College,BA,Computer Science,1981 – 1984
360,Wellesley College,,,
360,North Avondale and Walnut Hills!,,,
360,"University of California, Santa Cruz",,,
364,Mills College,Bachelor of Arts (B.A.),Computer Science,1997 – 1999
364,Vista Community College,Certification,American Sign Language (ASL),1985 – 1989
365,"University of California, Berkeley","CS61A, CS61B, MATH 16A",Computer Science,2012 – 2012
365,Mills College,Certificate,Computer Science,2011 – 2012
365,University of Southampton,BA Honours German,German Studies,1997 – 2000
365,FernUniversität in Hagen,Bachelor of Laws - LLB,Rechtswissenschaft/Commercial law,2019 – 2022
369,"University of California, Hastings College of the Law",,,1980 – 1983
369,"University of Washington, Seattle","M.Ed., B.Sc.","Occupational Therapy, Special Education",1973 – 1978
372,Mills College,Bachelor of Arts,"Computer Science, Intermedia Arts",2005 – 2009
372,Lakeland Community College,AA,Computer Science,2011 – 2012
375,Mills College,Bachelor of Arts (B.A.),Mathematics and Computer Science,2011 – 2015
375,Great Bay Community College,,General Studies,2010 – 2010
375,Swarthmore College,,,2014
375,"University of California, Berkeley",,,2013
379,San Francisco Art Institute,MFA,Digital Media,2004 – 2006
379,Mills College,Post-Baccalaureate,Computer Science,2006 – 2008
379,Oakland University,BA,Mathematics with Minors in Studio Art and Art History,1999 – 2004
381,Mills College,Graduate Certificate (now MA),Computer Science,1982 – 1983
381,"University of California, Berkeley",B.A,History,
383,"University of the Pacific, Arthur A. Dugoni School of Dentistry",Doctor of Dental Surgery,,2004 – 2007
383,University of Pennsylvania,Masters of Science in Engineering,Computer Science,1989 – 1992
383,Mills College,Bachelor of Arts (B.A.),Mathematics and Computer Science,
384,Mills College,MA,Interdisciplinary Computer Science,
384,"University of California, Davis",BA,Political Science,
386,VR/AR/MR Community,2018,"Augmented, Virtual & Mixed Reality Design & Development",
386,General Assembly,Digital Marketing,"Strategy, UX & Analytics",2017 – 2017
386,Institute of American Indian and Alaska Native Culture,,Digital Dome – Immersive 360 Video & Motion Graphics,2011 – 2011
386,Bay Area Video Coalition,Media Production Workshops,"Digital Media Design + Motion Graphics, Video Post",1994 – 1999
386,Film Arts Foundation,Independent Filmmaking and Scriptwriting,Film + Video,1990 – 1993
386,Center For Electronic Arts,New Media Design,Emerging Media Design,1998 – 1999
386,Mills College,MA Graduate Fellowship,Interactive Media Arts,1986 – 1988
