pid,pos_title,company_name,pos_summary,pos_start_month,pos_start_year,pos_end_month,pos_end_year,location
9,Senior Software Engineer,Major League Baseball Advanced Media,"My former employer, Vertigo, was recently acquired and is now a wholly owned subsidiary of Major League Baseball Advanced Media (MLBAM).

MLBAM is a full service solutions provider delivering world-class digital experience... See more",10,2015,08,2017,San Francisco Bay Area
9,Senior Software Engineer / Development Manager,Vertigo,"● Led engineering efforts for several well-known, groundbreaking applications including FOX Sports GO, March Madness on Demand (CBS Sports), Hard Rock Memorabilia, the Salesforce Developer Toolkit, and the Microsoft .NET Pet Shop
... See more",06,2002,10,2015,"Point Richmond, CA"
9,Senior Software Engineer,ACTIVE Network (Active.com),"● Played a key role during the initial startup phase as a member of a small team responsible for the original architecture and development of the flagship online registration product now supporting 80M transactions annually
... See more",05,1999,09,2001,"La Jolla, CA"
9,Production Director,Total Race Systems,"● Managed all facets of production for The Schedule, a monthly print magazine with 20K subscribers, including page layout (4-color, 80 pages) and preparation of high-resolution images for prepress using QuarkXPress and Photoshop
... See more",00,1997,00,1999,"San Rafael, CA"
13,Senior Software Engineer,Salesforce,,06,2018,13,9999,San Francisco Bay Area
13,Software Engineer,Salesforce,,07,2016,05,2018,San Francisco Bay Area
13,Associate Software Engineer,Salesforce,,06,2015,06,2016,San Francisco Bay Area
13,Intern - Software Engineering,Salesforce,"Responsibilities:
-Get familiar with the company, technologies, tools used
-Implement a mini virtual cloud based on Mac hardware (Mac-minis) - discontinued midway after reorganization... See more",02,2015,05,2015,
13,Software Engineering Contractor,Oakland Unity High School,"Updated Oakland Unity High School's public website, consolidating several different WordPress installations and databases into a single application. Refactored several different template files and changed the layout of certain pages.",12,2013,02,2014,Oakland
13,Account Manager,TransPerfect Translations,"Responsible for project management, client interfacing and sales.",01,2012,05,2012,Los Angeles
13,Intern,TransPerfect Translations,Training for Sales/Account Management; Account Management,05,2010,12,2011,Greater Los Angeles Area
13,Student,UCLA,Political Science B.A. and Economics/International Area Studies B.A.,09,2007,12,2011,UCLA
13,Constituent Service Representative / Intern,Los Angeles District Office of Senator Fran Pavely,Assisted constituents of the 23rd district with questions/concerns related to anything and everything.,00,2008,00,2009,"Santa Monica, CA"
13,Intern,American Private Equity,Reached out to potential investors.,06,2008,08,2008,"Century City, CA"
17,Application Software Development Engineer,ITT Corporation,,00,2009,13,9999,
17,Senior Technical Writer,Oracle Corporation,,08,2004,08,2005,
17,Member of Technical Staff,Sun Microsystems,,00,1999,00,2003,
17,Technical Writer,Forte Software,,11,1996,10,1999,"Oakland, California"
18,Administrator,WF,,00,0000,00,0000,
18,Trust Admin,US Bank,,00,1998,00,2001,
19,Technical Support Engineer,Confirmit,"● Assisting our clients with trouble shooting and implementation in our Authoring, Reportal, CATI, SODA, Data Processing, and Community Panel platforms.
● Conducted client trainings on how to create surveys and reports as well as add to them additional JScripting, CSS, and JavaScript functionality.
● Performed coding, survey creation, and report building consultancy work for our various clients some of which include Google, Microsoft, and Best Buy.
● Confirmit’s Voice of the Customer (VOC) contact for Microsoft. Maintained their hierarchy structure for several of their surveys and reports, updated their survey variables, m... See more",04,2008,13,9999,"Emeryville, CA"
19,Customer Service Representative,Telecom,"● Cold call sales and marketing of Perquest, a 100% web-based payroll solutions application, to 169 different companies a day.
● Provided customer service to pharmacy technicians and others seeking certification through the Pharmacy Technician Certification Board (PTCB). Responsibilities include: assi... See more",09,2007,04,2008,"Oakland, California"
19,Research and Development Associate,Computer Research Association,"● Summer Internship
● Created a MySQL database to store data needed for observation of test subjects for a cellular phone application.
●Modified code of the application to filter copies of text messages into the mySQL ... See more",05,2006,07,2006,"Bloomington, Indiana"
19,Software Project Manager,HSBC,"● Summer Internship
● Solely performed website testing for online bill payment site for the automotive finance division of HSBC.
● Wrote testing scripts and performed Quality Assurance and User Acceptance Te... See more",05,2004,07,2004,"San Diego, CA"
20,Full-time Mom and Freelance Writer (Self-employed),My Home,,10,2008,13,9999,
20,Senior Technical Writer,Sun Microsystems,,05,1998,10,2008,
21,Sr Digital Media Engineer,Sportvision,,00,2014,13,9999,
21,Senior Software Engineer,Playdom,,06,2012,06,2013,
21,Senior Software Enigneer,Xmobb,,06,2011,04,2012,
21,Client Engineer III,Wager Works,,03,2006,06,2011,
21,Senior Client Engineer,International Gaming Technology,,03,2006,06,2011,
21,Senior Project Engineer,LeapFrog Enterprises Inc,,03,2003,02,2006,
21,Software Engineer,Adamation,,09,2002,02,2003,
21,Lead Interactive Media Developer,Ninth House Network,,00,2000,00,2002,
21,Software Engineer,Redhill Studios,,11,1998,03,2000,
21,Software Engineer,Theatrix Interactive,,10,1994,11,1998,
22,Programmer/Analyst,Penn State University,"asp.net, sql and lotus notes programming",09,2005,13,9999,
22,Web/Database Services,CGNET Services International,Web and SQL Server administration. Management of the web group. Special projects and documentation.,05,1997,06,2005,
22,Library Sys. Admin,Mills College,Desktop and terminal support. Application development using Filemaker Pro.,09,1996,05,1997,
22,Helpdesk,SourceMate Info Systems,"Supported accountants and programmers using dBase, FoxBase, FoxPro and Clipper.",01,1989,08,1992,
25,"Senior IS Manager, Project Manager",Energy Solutions,,03,2017,13,9999,
25,"Senior Community Manager, Program Manager",Synopsys Inc,I am building a developer support community and advocacy program for the Software Integrity Group at Synopsys.,07,2016,03,2017,San Francisco Bay Area
25,"Director of Community Infrastructure, Program Manager",Oracle,"I own our community platform (Jive) and manage a portfolio of projects around the upgrade and enhancement roadmap. This platform currently hosts everything from the Oracle Technology Network, to Java, to My Oracle Support Community (MOSC). I'm working to upgrade Oracle's community infrastructure to ensure our customers have a consist... See more",11,2012,07,2016,California
25,Java.net Community and Program Manager,Oracle,"I was responsible for day-to-day site operations, as well as management of projects related to the upgrade and maintenance of the site. Also a regular speaker at international Java conferences. Managed Java.net staff (editor, community associate, Drupal developer).",02,2010,11,2012,
25,Java.net Community Manager,Sun Microsystems,"I was originally hired at Sun as an intern while in grad school. I reported to the community manager and worked on small projects around the community. When I graduated in 2007 I was hired as a full time staff engineer, working on Java.net and community projects. That role evolved into the Community Manager position I held until Oracle acquired the company in 2010.",12,2005,02,2010,
25,Senior Technical Writer,OpenTV,,00,2000,00,2004,
25,Quality Engineer,Vividence,,00,1999,00,2000,"San Mateo, CA"
25,QA Analyst,Absolute Quality,,00,1998,00,1999,
28,Business Critical Account Manager,Veritas Technologies LLC,Formerly Symantec,06,2003,13,9999,
28,"Manager, Technical Support","Mercado Software, Inc.",,00,2001,00,2003,
28,"Sr. Manager, Technical Support",ObjectStream,,00,2000,00,2001,
28,Premier Services Account Manager,Informix Corporation,,00,1999,00,2000,
28,"Manager, Technical Support",NDC – Health Information Services,,00,1996,00,1998,
28,Manager Customer Support,DataMedic,,00,1988,00,1996,
29,Graduate TA,Mills College,Graded homework and debugged code during office hours for Professor Susan Wang and Professor Almudena Konrad.,01,2014,05,2015,"Oakland, CA"
29,Materials Process Engineer,Envia Systems Inc,"Coauthored a patent (US 20140050972 A1), and worked on projects that received funding from Advanced Research Project Agency - Energy (ARPA-E) and United States Advanced Battery Consortium (USABC). Was responsible for incorporating novel synthesis techniques into our material development process and for carrying out bench scale experiments on pos... See more",06,2010,09,2013,"Newark, CA"
30,Training Coordinator,Callen-Lorde Community Health Center,"I develop training materials and curriculum for all incoming Patient Administrative services staff, ensuring they are competent in all aspects of customer service, knowledge of our practice, and TGNB competent.
I also do off site TGNB competency training's for other organizations.",11,2017,13,9999,356 West 18th St
30,Call Center Supervisor,Callen-Lorde Community Health Center,"I ensure the call center and it's employees are doing their job and having fun! I run a lot of Cisco reports, am getting deep into Excel knowledge, and do it all to make sure the patients are receiving the highest quality in care while enjoying who they are talking to.",06,2016,13,9999,
30,PCA,Callen-Lorde Community Health Center,"I'm about to begin my journey of helping people check-in for appointments, reminding them they have appointments, making sure their files are kept secure and in a good order, and making sure that everyone that is part of the LGBTQ community feels safe and welcome.",03,2015,06,2016,
30,Cabinet Maker Apprentice,Carpistry Associates,"Working with various machines, including table saw, router, planer, drill press.
Unit design and installation.
Design and execution of specialty items (boxes, desks, etc.)",06,2013,13,9999,"Brooklyn, NY"
30,Freelance Writer and Actor,Total Theatre Lab,"Working with Caroline Thomas in creating short scenes for acting, working on monologues, preparing for auditions.
During showcases I help with lighting and setup/breakdown of sets.",01,2004,13,9999,Greater New York City Area
30,Executive Mulitasker,Empire Wealth Strategies & Penn Mutual,"Creating illustrations for prospective clients and their possible future investments and insurance needs.
Corresponding with clients and agents, building rapport with prospective customers, representing agents and clients as advocates for their investments and future plann... See more",07,2011,12,2014,
30,Tutor and Mentor,The Urban Academy,"Tutored high school students in multiple subjects such as: English, Algebra, Java Programming, Science
Mentored students in college preparation, Regents preperation, and essay structure & revision.",03,2011,07,2011,Greater New York City Area
30,Scooper,Ben & Jerry's,"Setup the shop in the morning, made sure supplies and products were prepared for customers and staff, secured the closing and safety of the shop
Handled money and filed daily money reports
Assisted in creating positive working and customer environments and created consi... See more",03,2010,07,2010,
30,Assistant,Cyndi Shattuck Photography,"Worked preserving photographs by scanning and editing them in Photoshop.
Scrapbooked old photographs using proper preservation, wearing gloves, and gentle care not to damage them.
Repairing damaged photos, seaming together large photos and and editing blemish... See more",06,2008,08,2008,
30,Teaching Assistant,International Center of Photography,"Cleaned dark rooms to create a easier and quicker photograph developing process
Assisted with office tasks such as checking out equipment and ensuring the proper maintenance and storage of equipment",10,2007,05,2008,
30,Academic Tutor,Support for Training and Educational Services,"Worked weekly with small groups of adults, aged 18-80, doing one-on-one tutoring in reading, writing and basic math skills to prepare them for GED exams
Helped students with cognitive and learning disabilities one-on-one with academics as well as conversational skills.",10,2006,06,2007,Greater New York City Area
30,Teen docent,American Folk Art Museum,"Participated in a year-long training program for high school students to become docents
Trained in weekly classes, for the design, and implementation of two independently run tours
Gained experience in silk screening procedures.
Learned history of Art in the museum at the time, as well as in the special exhibitions.",09,2005,04,2006,Greater New York City Area
33,Principal Technical Writer,DataStax,,05,2016,13,9999,
33,Senior technical writer,DataStax,,01,2013,13,9999,
33,Lead technical writer,Salesforce.com,,09,2010,08,2012,
33,Principal technical writer,Access,,03,2008,08,2010,
33,Owner,Bitzone LLC,,12,2007,03,2008,
33,Staff engineer,Sun Microsystems,,12,2004,09,2007,
33,Owner,Bitzone LLC,,12,1997,12,2004,
33,Contract technical writer,Lutris,,02,2001,11,2001,
33,Technical Writer,Oracle Corp,,06,1994,11,1997,
33,Partner,C2 Computer Consulting,,02,1990,05,1994,
33,Contract technical writer,Musclefish,,00,0000,00,0000,
33,Technical Writer,"Island Graphics, Inc.",,01,1988,02,1992,
33,QA Engineer,"Broderbund Software, Inc.",,00,0000,00,0000,
36,Executive Assistant,City of Walnut Creek,,11,2015,13,9999,"Walnut Creek, CA"
36,Faculty Administrative Assistant,Mills College,"With minimal supervision, managed department office and provided administrative support to faculty in two academic departments encompassing five programs of study. Prepared course schedules and staffing reports, monitored academic program budgets, maintained records of student employment and payroll expenses, processed faculty expense reports, upd... See more",08,2007,11,2015,"Oakland, CA"
36,Informatics Associate I,Discovery Partners Chem RX Div,"Produced, formatted, and ensured the quality and integrity of chemical library datafiles for both internal and external clients. Using proprietary software, enumerated virtual chemical libraries. Assisted chemists in compound search and selection for test libraries. Supervised assistants.",04,2000,04,2002,"South San Francisco, CA"
38,Senior Software Engineer,"Pivotal Software, Inc.",,02,2019,13,9999,
38,Software Engineer,AirPR,,10,2015,02,2019,San Francisco Bay Area
38,Software Engineer,Scalus,,02,2013,09,2015,San Francisco Bay Area
38,Teacher's Assistant,Mills College,"Computer Architecture
Theory of Algorithms
Discrete Mathematics",08,2011,12,2012,
38,Software Engineering Intern,Scripted.com,"Ruby on Rails web development;
Document clustering/classification
Data visualization with d3",05,2012,11,2012,San Francisco Bay Area
38,"Editor-in-Chief, Senior Prose Editor, Board Member",Oakland Review Literary Journal,"Organized and led general body meetings
Headed publicity and recruitment
Led editorial discussions
Read and selected manuscripts... See more",09,2006,12,2009,
38,Intern,"Fence Magazine, Inc","Read, sorted, and screened manuscripts",06,2009,08,2009,
39,Partner and Senior Consultant,Stellar IT Solutions,"Stellar IT Solutions is an IT and web consulting firm offering knowledge and expertise to the East Bay, focusing on providing affordable solutions to small and medium-sized companies.

Experienced project manager and senior consultant, well versed in the technical as well as user interface and communications aspects of high profile websites.",00,2004,13,9999,San Francisco Bay Area
39,Technology Specialist,Piedmont High School,"Experienced information technology and education professional with a proven background in providing quality technical and training leadership to diverse audiences. Excellent project and people manager with strong communication, organization and facilitation skills.",09,2008,13,9999,"Piedmont, California"
39,Computer Science Instructor,Piedmont High School,Instructor of an introductory computer science course and the newly launched College Board AP Computer Science Principles course. Both courses meet the CSTA Standards and the APCSP class follows the College Board’s prescribed APCSP Curriculum Framework.,09,2008,13,9999,"Piedmont, California"
39,"Webmaster, INS Division",Lucent Technologies,"Managed people and projects that supported the company's internet, intranet and secure business partner extranet on the WWW after Ascend's merger with Lucent Technologies.",00,1999,00,2000,
39,Corporate Webmaster,Ascend Communications,"Responsible for the company's public and secure web presence. Managed designers, developers, system admins, DBA's, in maintaining a highly visible and effective product, sales force and partner web presence. Used own staff and extensive outside resources to assist in the process.",05,1995,01,1999,
43,Regional Admission Representative,University of New Mexico,,11,2014,13,9999,
45,"Vice President, Global Supply Chain Management",Ergobaby,"Ergobaby is part of a publicly traded holding company. Premium baby wearing, baby travel systems, and other leading baby products (consumer goods).

Report directly to CEO & CFO. Accountable for the success of the entire global supply chain:

• Sourcing / Qualifying International Suppliers and Factories
• Contracts Negotiations / US and Global Negotiations
• Cost (Cost Reduction) Management... See more",06,2011,13,9999,Greater Los Angeles Area
45,"Vice President, Global Supply Chain",Orbit Baby,"Orbit Baby - premium baby strollers, car seats, and accessories.",06,2011,11,2016,
45,"Vice President, Supply Chain","Strategic Partners, Inc.","Largest uniforms (apparel and footwear) company in the USA with brands including Dickies, Cherokee, Skechers, BabyPhat, and private labels for Wal-Mart and Target.
Reported directly to the CEO.
... See more",08,2007,07,2011,Greater Los Angeles Area
45,"Director, Production/Global Manufacturing","Strategic Partners, Inc.",,07,2004,07,2007,
45,Production Planning,"Strategic Partners, Inc.",,05,2002,06,2004,
45,Demand Planning and Forecasting,"Strategic Partners, Inc.",,11,2000,11,2002,
46,Principal Software Engineer,Splunk,"Engineering Achievements:
• Lead front end developer and architect on the Splunk Datasets Add-on/Table Editor
• Lead front end developer on Splunk Search interface from 2013 to 2014",04,2012,13,9999,San Francisco Bay Area
46,Software Engineer,Nine Summer,,09,2009,12,2011,
46,Software Engineer,DailyLit,,00,2008,09,2009,
46,Technician/Teaching Assistant,Mills College,,08,2005,05,2008,
46,Graduate Research Assistant,Mills College,,07,2006,08,2007,
46,Intern - Software/Web Application Engineering,"Mobile Content Networks, Inc.",,05,2007,08,2007,
47,Senior Director of Software Engineering,LeapFrog,"I am currently Senior Director of Software Engineering, leading LeapFrog's Ecosystem Engineering group. Our team of over 25 is made up of Engineers (C++/Java/Flex/CSS/HTML/etc.), Project Managers, Development Managers and QA who work closely with all of our business groups to build/release all of the pieces of our Connected Ecosystem.",08,2003,11,2015,
47,Technical Director,Red Hill Studios,,07,1998,08,2003,
47,Games Programmer (C++),Theatrix Interactive,,12,1994,05,1998,
51,Senior VUI Architect,Interactions LLC,,04,2017,13,9999,Greater Chicago Area
51,Senior VUI Designer,AT&T,,08,2011,01,2017,
51,Senior Speech Technology Consultant,Versay Solutions LLC,,02,2009,08,2011,
51,Senior UI Designer,Bose Corporation,,02,2005,07,2008,
51,Principal Staff Scientist,Motorola,,11,1999,02,2005,
51,Member Technical Staff,Hewlett-Packard,,00,1983,00,1990,
52,Business Owner,MyStory MyBrand,,04,2017,13,9999,
52,Owner,myFlicks,"myFlicks is a video production and social media marketing firm that will create captivating video, brand market your business across all social media platforms, and ultimately increase your bottom line! With monthly reporting and custom-built marketing plans, you'll never have to worry with myFlicks on your side!",07,2009,13,9999,"Orange County, California Area"
52,Video Editor,The Bay Show,"Create Opening Graphice
Edit Video Footage
Create Individual Edits",06,2009,10,2009,
52,Video Editor/Graphic Design,Rapt Productions,"Digital Video Editing and graphic design working with Final Cut Pro, DVD Studio Pro, Photoshop, Motion and Flash.
Meeting with clients and providing 1 on 1 editing tips
Event Videography",06,2007,07,2009,
53,Frontend Software Engineer,Udemy,,05,2018,13,9999,San Francisco Bay Area
53,Frontend Developer,"moBack, Inc.",,10,2014,11,2015,"Sunnyvale, CA"
53,Web Software Developer,QuinStreet,"The major responsibilities are to design, develop and debug Web applications.",02,2011,10,2011,
53,UNIX Systems Administrator,"Residential Computing, UC Berkeley",,05,2008,05,2009,
53,Webmaster,Bioneers,,00,2005,00,2007,
53,Content Developer for TechSoup.org,CompuMentor,,00,2001,00,2004,
53,Computers and Internet Category Editor,Yahoo!,,00,1999,00,2001,
54,"Director, Fusion Applications User Experience",Oracle USA,"Responsible for user experience of Oracle’s next generation of enterprise business applications (“Fusion”), including on premise, on demand and mobile solutions.

• Lead a ~40 person organization, including six user experience teams comprised of user researchers, interaction designers, visual designers, usability engineers and architects, who research, design and deliver the user experience for nine product families spanning over 60 products and business solutions.
• Drive utilization of user-centered design processes within the application develop... See more",12,2007,13,9999,
54,"Senior Manager, Fusion Applications User Experience",Oracle USA,"Expanded scope of responsibility to include all product families in Oracle’s next generation suite of enterprise business applications.

• Promoted cross-team collaboration, in particular identifying common UX design, ... See more",09,2006,12,2007,
54,"Manager, Financial Applications User Experience",Oracle USA,"Responsible for user experience of Financial applications in Oracle’s E-Business Suite, PeopleSoft Enterprise, and Fusion Applications product lines.

• Worked with VPs of Financials Development and Strategy to align user experience... See more",05,2005,09,2006,
54,Principal Interaction Designer,Oracle USA,"Financial, Public Sector and Healthcare Applications
• Lead designer for 35+ financial, public sector, and healthcare applications with oversight of four junior designers, two senior designers and one usability engineer.
• Developed comprehensive user experience plan for Financial and Public Sector pr... See more",03,2003,05,2005,
54,Senior Interaction Designer,Oracle USA,"Supply Chain and Financial Applications
• Supported 28 products, spanning internet portals, self service and professional applications in supply chain and financial domains.
• Scoped projects and created UX support plans to match each product team’s inte... See more",08,2000,02,2003,
54,Interaction Designer,Oracle USA,"Business Intelligence (BI) and Supply Chain Applications
• Introduced user-centered design (UCD) process to product teams in technology-centric development environment. Worked closely with usability engineer to plan and conduct user research, including user interviews, wants and needs sessions, task frequency surv... See more",10,1998,07,2000,
54,User Experience Researcher / Interaction Designer,Xerox PARC,"Member of User Experience Research Group, on loan to PD Reader, Inc., a Xerox New Enterprise Company
• Worked with core development team to specify and design a device and user experience specialized for document and information handling. Built prototypes to explore diffe... See more",12,1997,10,1998,
54,User Experience Researcher / Interaction Designer,"Apple Computer, Inc.","User Experience Designer, Advanced Technology Group
• Proposed annotation capabilities for MacOS, based on wants and needs of new media customers. Analyzed field data to generate user requirements. Wrote and illustrated scenario to describe features and functionality for engineering and marketing teams.... See more",06,1994,11,1997,
54,Product Manager,Broderbund Software,"Product Manager, Entertainment and Education Group
• Managed product development of education software, including Where in the World is Carmen Sandiego? Deluxe Edition for CD-ROM. Provided requirements and specifications to developers, graphic artists, sound designers and QA testers. Researched geograph... See more",05,1990,05,1992,
56,Writer,Simona Carini,"Poet, memoir and food writer",03,2007,13,9999,
56,Programmer/Analyst,UCSF,,05,2006,13,9999,
57,Software Engineer,Google,Focus on the user and all else will follow.,06,2012,13,9999,Greater Seattle Area
57,AI Research Scientist / Software Engineer,Stottler Henke,"I have been involved in every stage of software development, from proposal writing through customer delivery. My roles include principal scientist, software designer, team leader, and coder. I frequently serve in other roles, as needed, including system administrator, facility security officer, technical writer / editor, and many more.",09,1997,06,2012,Greater Seattle Area
57,Web Developer,Volunteer Web Developer,"Members of the A Cappella Joy Chorus (www.ajoysings.org) made a sketch of what they wanted their new website to look like. As a service to this non-profit, I developed their site from the bottom up, using Javascript, Ajax, and CSS to provide a clean and responsive public presence. For their members only area, I deployed Mediawiki and a photo manage... See more",05,2009,07,2009,"Bellevue, WA"
57,Assistant Professor of Computer Science,Eastern Connecticut State University,"I taught all levels of undergraduate computer science courses including programming (C++), compiler design, artificial intelligence, and a senior seminar in cognitive science.",09,1994,06,1997,"Willimantic, CT"
59,Facilities Project Management: Physical Security Specialist,UC Berkeley,"Conduct bid walks for security camera installs/repairs
Coordinate vendor installations/repairs
Coordinate projects with departments and customers
Account/billing
Create documentation
Write detailed project scope for clients/customers
Work to insure accountability and quality install and products
Create training documentation... See more",02,2014,13,9999,UCPD Berkeley
59,Technical Consultant,"Spark Work/ Distant Views, LLC","— MOBOTIX IP security camera system video installation and support
— Provide security camera video per law enforcement requests
— Network support for small business/home router install and configuration
— Website support using HTML-5, content management, php, javascript... See more",03,2000,13,9999,San Francisco Bay Area
59,Faculty and Staff Training Coordinator & Telecom Technical Support,Mills College,"Technical Training
— Create topic specific training programs
— Create training documentation
— Create training program and material for transition to Google Apps for Education... See more",10,2007,02,2014,"Oakland, California"
59,Help Desk Technical Support,Peralta Community College District,"— Respond to requests for technical assistance via phone and remote connections
— Support faculty and staff from central location and for all 4 remote college locations
— Diagnose and resolve technical hardware and software issues and advise users on apporpriate action... See more",08,2005,11,2007,"Oakland, California"
59,System Administrator/Desktop Support/Telecom Support/Purchaser,"Chemtrace, INC","— Diagnose and resolve computer problems for end-users/customers
— Purchase and re-image new computer systems
— Back up Windows server data to data backup tape system
— Managed day to day server and desktop tasks and issues... See more",06,2003,08,2005,"Fremont, California"
59,Supervising Waste Water Control Inspector,EBMUD,"— Coordinate with other local and state agencies and business owners to ensure an understanding and implementation of State and Federal Regulations related to Clean Water Act and wastewater discharges
— Managed departmental budget and wastewater field inspectors... See more",06,1996,03,2000,"Oakland, California"
59,Refinery Operations: Technician\Operator\Supervisor,Exxon USA,"— Organize, coordinate, and manage the work and training activities of refinery technicians and contractors
— Read and interpret various blue print, schematic and flow diagrams
— Field verify new piping and equipment installation for safety and process com... See more",01,1986,06,1996,"Benicia, California"
60,"Software Engineer, R&D","Galois, Inc.",,01,2010,13,9999,
60,Software Developer,"PTV America, Inc",* Implemented traffic engineering methodology (HCM2000) in C++ within large complex code base of VISUM. Instrumental in bringing unit testing to the development process. Our extensive testing validated the calculations and also found errors in the HCM2000 manual and competitors' software implementations.... See more,01,2007,12,2009,
60,Student Intern,Sandia National Laboratory,* Implemented social force model of pedestrian motion for simulations of crowd evacuations. Incorporated input from fire smoke model. Modeled pedestrian's tendency to avoid smoke as function of smoke density.,06,2006,09,2006,
60,Research Assistant,Oregon State University,* Developed new method for modeling the motion of people for 2D pedestrian simulations. A pedestrian's body configuration is used in conjunction with motion capture data to produce plausible motion. http://eecs.oregonstate.edu/gait/research/pedestrians/,09,2003,06,2006,
60,Teaching Assistant,Mills College,Graded proofs of Real Analysis theorems.,00,2002,00,2003,
60,Undergraduate Research,Computing Research Association's Distributed Mentor Project (DMP),* Lead user study at Oregon State University to measure the effectiveness of an enticement strategy. Aim was to harness curiosity to encourage end-users to use tools that help them find errors in spreadsheet programs.,06,2002,09,2002,
61,Executive Marketing Director,Youngevity / Essential Health Sciences / 90 for Life,,05,2012,13,9999,
